1, 2, 2, 0, 7200, 7200
2, 3, 2, 0, 7200, 7200
3, 4, 2, 0, 7200, 7200
4, 5, 2, 0, 7200, 7200
5, 6, 2, 0, 7200, 7200
6, 7, 2, 0, 7200, 7200
7, 2, 3, 0, 7200, 7200
8, 3, 3, 0, 7200, 7200
9, 4, 3, 0, 7200, 7200
10, 5, 3, 0, 7200, 7200
11, 6, 3, 0, 7200, 7200
12, 7, 3, 0, 7200, 7200
13, 2, 4, 0, 7200, 7200
14, 3, 4, 0, 7200, 7200
15, 4, 4, 0, 7200, 7200
16, 5, 4, 0, 7200, 7200
17, 6, 4, 0, 7200, 7200
18, 7, 4, 0, 7200, 7200
19, 2, 5, 0, 7200, 7200
20, 3, 5, 0, 7200, 7200
21, 4, 5, 0, 7200, 7200
22, 5, 5, 0, 7200, 7200
23, 6, 5, 0, 7200, 7200
24, 7, 5, 0, 7200, 7200
25, 2, 6, 0, 7200, 7200
26, 3, 6, 0, 7200, 7200
27, 4, 6, 0, 7200, 7200
28, 5, 6, 0, 7200, 7200
29, 6, 6, 0, 7200, 7200
30, 7, 6, 0, 7200, 7200
31, 2, 7, 0, 7200, 7200
32, 3, 7, 0, 7200, 7200
33, 4, 7, 0, 7200, 7200
34, 5, 7, 0, 7200, 7200
35, 6, 7, 0, 7200, 7200
36, 7, 7, 0, 7200, 7200